Order ID,Customer ID,Item ID,Export Flag,Dangerous Flag,Derived Scenario,Scenario Used,Planned Steps,As Is Steps
ORD0001,CUS0013,ITE0025,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0002,CUS0020,ITE0022,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0003,CUS0013,ITE0048,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0004,CUS0002,ITE0014,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0005,CUS0005,ITE0044,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0006,CUS0007,ITE0030,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0007,CUS0002,ITE0026,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0007|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0001|PR0008|PR0009|PR0010|PR0012
ORD0008,CUS0003,ITE0041,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0011|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0003|PR0012
ORD0009,CUS0008,ITE0047,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0010,CUS0009,ITE0011,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0011|PR0007|PR0008|PR0009|PR0010|PR0006|PR0012
ORD0011,CUS0003,ITE0034,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0012,CUS0002,ITE0028,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0006|PR0014|PR0012|PR0004
ORD0013,CUS0001,ITE0031,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0014,CUS0003,ITE0049,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0015,CUS0005,ITE0033,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0016,CUS0009,ITE0044,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0017,CUS0019,ITE0028,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0007|PR0014|PR0006|PR0005|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0018,CUS0002,ITE0031,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0019,CUS0011,ITE0048,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0020,CUS0018,ITE0003,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0021,CUS0009,ITE0009,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0022,CUS0019,ITE0027,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0012|PR0011|PR0010
ORD0023,CUS0019,ITE0036,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0024,CUS0017,ITE0011,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0025,CUS0006,ITE0023,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0011|PR0007|PR0008|PR0009|PR0006|PR0012
ORD0026,CUS0010,ITE0019,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0007|PR0004|PR0005|PR0006|PR0003|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0027,CUS0004,ITE0002,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0028,CUS0018,ITE0016,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0029,CUS0019,ITE0039,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0030,CUS0016,ITE0049,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0007|PR0004|PR0005|PR0006|PR0003|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0031,CUS0012,ITE0004,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0007|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0001|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0032,CUS0002,ITE0010,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0004|PR0003|PR0001|PR0014|PR0006
ORD0033,CUS0001,ITE0008,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0034,CUS0009,ITE0041,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0011|PR0002|PR0003|PR0004|PR0005|PR0006|PR0013|PR0008|PR0009|PR0010|PR0001|PR0012
ORD0035,CUS0005,ITE0040,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0036,CUS0013,ITE0014,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0013|PR0009|PR0010|PR0011|PR0012
ORD0037,CUS0004,ITE0015,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0011|PR0009|PR0010|PR0008|PR0012
ORD0038,CUS0009,ITE0031,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0006|PR0003|PR0004|PR0005|PR0002|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0039,CUS0003,ITE0023,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0012|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0001
ORD0040,CUS0006,ITE0034,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0041,CUS0017,ITE0048,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0042,CUS0003,ITE0013,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0009|PR0007|PR0008|PR0006|PR0010|PR0011|PR0012
ORD0043,CUS0007,ITE0032,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0044,CUS0013,ITE0001,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0009|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0001|PR0010|PR0011|PR0012
ORD0045,CUS0016,ITE0016,2,2,SCE005,SCE005,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006,PR0001|PR0003|PR0004|PR0014|PR0012|PR0006
ORD0046,CUS0001,ITE0001,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0047,CUS0005,ITE0011,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0013|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0048,CUS0008,ITE0028,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0014|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012
ORD0049,CUS0009,ITE0049,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0008|PR0006|PR0007|PR0005|PR0009|PR0010|PR0011|PR0012
