Order ID,Customer ID,Item ID,Export Flag,Dangerous Flag,Derived Scenario,Scenario Used,Planned Steps,As Is Steps,Breach Type,Breach Details
ORD4711,CUS3639,ITE5155,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0009|PR0011|PR0013|PR0004|PR0010|PR0003|PR0002|PR0005|PR0001|PR0012|PR0008|PR0006|PR0014|PR0007,out of order,"Wrong order: PR0001≠PR0009, PR0002≠PR0011, PR0003≠PR0013, PR0005≠PR0010, PR0006≠PR0003, PR0007≠PR0002, PR0008≠PR0005, PR0009≠PR0001, PR0010≠PR0012, PR0011≠PR0008, PR0012≠PR0006, PR0013≠PR0014, PR0014≠PR0007"
ORD4711,CUS3639,ITE5154,1,2,SCE002,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,missing,Missing: PR0005
ORD4711,CUS3639,ITE5155,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4712,CUS3640,ITE5152,2,1,SCE003,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0008|PR0011|PR0004|PR0005|PR0009|PR0010|PR0007|PR0012|PR0002|PR0003|PR0014|PR0006,out of order,"Wrong order: PR0002≠PR0008, PR0003≠PR0011, PR0006≠PR0009, PR0007≠PR0010, PR0008≠PR0007, PR0009≠PR0012, PR0010≠PR0002, PR0011≠PR0003, PR0012≠PR0014, PR0014≠PR0006"
ORD4712,CUS3640,ITE5152,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4712,CUS3640,ITE5156,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4713,CUS3638,ITE5152,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4713,CUS3638,ITE5153,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4713,CUS3638,ITE5156,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4714,CUS3639,ITE5152,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4714,CUS3639,ITE5156,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4714,CUS3639,ITE5152,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4715,CUS3636,ITE5154,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4715,CUS3636,ITE5151,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,missing,Missing: PR0006
ORD4715,CUS3636,ITE5153,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0009|PR0001|PR0005|PR0010|PR0007|PR0002|PR0004|PR0006|PR0003|PR0012|PR0014|PR0011|PR0013|PR0008,out of order,"Wrong order: PR0001≠PR0009, PR0002≠PR0001, PR0003≠PR0005, PR0004≠PR0010, PR0005≠PR0007, PR0006≠PR0002, PR0007≠PR0004, PR0008≠PR0006, PR0009≠PR0003, PR0010≠PR0012, PR0011≠PR0014, PR0012≠PR0011, PR0014≠PR0008"
ORD4716,CUS3636,ITE5152,2,2,SCE004,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,missing,Missing: PR0014
ORD4716,CUS3636,ITE5153,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4716,CUS3636,ITE5155,1,2,SCE002,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0012|PR0004|PR0007|PR0002|PR0011|PR0010|PR0013|PR0001|PR0003|PR0006|PR0009|PR0008|PR0005,out of order,"Wrong order: PR0001≠PR0012, PR0002≠PR0004, PR0003≠PR0007, PR0004≠PR0002, PR0005≠PR0011, PR0006≠PR0010, PR0007≠PR0013, PR0008≠PR0001, PR0009≠PR0003, PR0010≠PR0006, PR0011≠PR0009, PR0012≠PR0008, PR0013≠PR0005"
ORD4717,CUS3638,ITE5151,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4717,CUS3638,ITE5156,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4717,CUS3638,ITE5152,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4718,CUS3640,ITE5156,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4718,CUS3640,ITE5154,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4718,CUS3640,ITE5154,2,1,SCE003,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,missing,Missing: PR0007
ORD4719,CUS3636,ITE5151,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4719,CUS3636,ITE5154,2,1,SCE003,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,missing,Missing: PR0004
ORD4719,CUS3636,ITE5155,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4720,CUS3638,ITE5155,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4720,CUS3638,ITE5156,2,1,SCE003,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0003|PR0011|PR0002|PR0006|PR0009|PR0001|PR0010|PR0014|PR0012|PR0007|PR0008|PR0004|PR0005,out of order,"Wrong order: PR0001≠PR0003, PR0002≠PR0011, PR0003≠PR0002, PR0004≠PR0006, PR0005≠PR0009, PR0006≠PR0001, PR0007≠PR0010, PR0008≠PR0014, PR0009≠PR0012, PR0010≠PR0007, PR0011≠PR0008, PR0012≠PR0004, PR0014≠PR0005"
ORD4720,CUS3638,ITE5155,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4721,CUS3637,ITE5151,1,1,SCE001,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,missing,Missing: PR0003
ORD4721,CUS3637,ITE5151,2,1,SCE003,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,missing,Missing: PR0005
ORD4721,CUS3637,ITE5155,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4722,CUS3638,ITE5156,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4722,CUS3638,ITE5153,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4722,CUS3638,ITE5155,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4723,CUS3636,ITE5155,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4723,CUS3636,ITE5152,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4723,CUS3636,ITE5153,2,1,SCE003,SCE003,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0014,None,No breach
ORD4724,CUS3636,ITE5156,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4724,CUS3636,ITE5155,2,2,SCE004,SCE004,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013|PR0014,None,No breach
ORD4724,CUS3636,ITE5152,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4725,CUS3640,ITE5151,1,1,SCE001,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0008|PR0009|PR0010|PR0011|PR0012,missing,Missing: PR0007
ORD4725,CUS3640,ITE5154,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4725,CUS3640,ITE5153,1,2,SCE002,SCE005,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0005|PR0006|PR0004|PR0010|PR0009|PR0008|PR0012|PR0013|PR0007|PR0011|PR0001|PR0003|PR0002,out of order,"Wrong order: PR0001≠PR0005, PR0002≠PR0006, PR0003≠PR0004, PR0004≠PR0010, PR0005≠PR0009, PR0006≠PR0008, PR0007≠PR0012, PR0008≠PR0013, PR0009≠PR0007, PR0010≠PR0011, PR0011≠PR0001, PR0012≠PR0003, PR0013≠PR0002"
ORD4726,CUS3636,ITE5151,1,1,SCE001,SCE001,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012,None,No breach
ORD4726,CUS3636,ITE5153,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4726,CUS3636,ITE5153,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
ORD4727,CUS3637,ITE5151,1,2,SCE002,SCE002,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,PR0001|PR0002|PR0003|PR0004|PR0005|PR0006|PR0007|PR0008|PR0009|PR0010|PR0011|PR0012|PR0013,None,No breach
